;ID_PRODUCT;EVENT_DATE;EVENT_NAME
0;1;09.01.2020 7:59;Вход в систему
1;1;09.01.2020 7:59;Выбор операции
2;1;09.01.2020 7:59;Печать договора
3;1;09.01.2020 8:01;Загрузка сотрудником скана документа в систему
4;1;09.01.2020 8:01;Отмена операции
5;1;09.01.2020 8:01;Выход из системы
6;10;09.01.2020 10:29;Вход в систему
7;10;09.01.2020 10:29;Выбор операции
8;10;09.01.2020 10:30;Выбор операции
9;10;09.01.2020 10:30;Выход из системы
10;100;15.01.2020 10:24;Вход в систему
11;100;15.01.2020 10:24;Выбор операции
12;100;15.01.2020 10:27;Выход из системы
13;1000;11.02.2020 15:58;Вход в систему
14;1000;11.02.2020 15:59;Выбор операции
15;1000;11.02.2020 16:01;Выход из системы
16;1000;11.02.2020 16:01;Выход из системы
17;1001;12.02.2020 7:03;Вход в систему
18;1001;12.02.2020 7:03;Выбор операции
19;1001;12.02.2020 7:03;Выход из системы
20;1002;12.02.2020 9:05;Вход в систему
21;1002;12.02.2020 9:06;Выбор операции
22;1002;12.02.2020 9:07;Выход из системы
23;1003;12.02.2020 9:13;Вход в систему
24;1003;12.02.2020 9:13;Выбор операции
25;1003;12.02.2020 9:16;Печать договора
26;1003;12.02.2020 9:18;Загрузка сотрудником скана документа в систему
27;1003;12.02.2020 9:19;Подтверждение сотрудником загрузки скана документа
28;1003;12.02.2020 9:19;Подтверждение сотрудником загрузки скана документа
29;1003;12.02.2020 9:21;Выход из системы
30;1004;12.02.2020 9:27;Вход в систему
31;1004;12.02.2020 9:27;Выход из системы
32;1005;12.02.2020 9:53;Вход в систему
33;1005;12.02.2020 9:53;Выбор операции
34;1005;12.02.2020 9:54;Печать договора
35;1005;12.02.2020 9:59;Загрузка сотрудником скана документа в систему
36;1005;12.02.2020 10:00;Подтверждение сотрудником загрузки скана документа
37;1005;12.02.2020 10:00;Подтверждение сотрудником загрузки скана документа
38;1005;12.02.2020 10:01;Выход из системы
39;1006;12.02.2020 11:15;Вход в систему
40;1006;12.02.2020 11:15;Выбор операции
41;1006;12.02.2020 11:15;Выход из системы
42;1007;12.02.2020 11:19;Вход в систему
43;1007;12.02.2020 11:21;Выход из системы
44;1008;12.02.2020 11:34;Вход в систему
45;1008;12.02.2020 11:34;Выбор операции
46;1008;12.02.2020 11:36;Печать договора
47;1008;12.02.2020 11:38;Загрузка сотрудником скана документа в систему
48;1008;12.02.2020 11:39;Подтверждение сотрудником загрузки скана документа
49;1008;12.02.2020 11:39;Подтверждение сотрудником загрузки скана документа
50;1008;12.02.2020 11:39;Выход из системы
51;1008;12.02.2020 11:46;Печать договора
52;1008;12.02.2020 11:48;Загрузка сотрудником скана документа в систему
53;1008;12.02.2020 11:49;Подтверждение сотрудником загрузки скана документа
54;1008;12.02.2020 11:49;Подтверждение сотрудником загрузки скана документа
55;1008;12.02.2020 11:49;Выход из системы
56;1009;12.02.2020 11:39;Вход в систему
57;1009;12.02.2020 11:39;Выход из системы
58;101;15.01.2020 10:32;Вход в систему
59;101;15.01.2020 10:33;Выбор операции
60;101;15.01.2020 10:34;Печать договора
61;101;15.01.2020 10:35;Выход из системы
62;1010;12.02.2020 11:46;Вход в систему
63;1010;12.02.2020 11:46;Выбор операции
64;1011;12.02.2020 11:46;Вход в систему
65;1011;12.02.2020 11:46;Выбор операции
66;1011;12.02.2020 11:48;Выход из системы
67;1012;12.02.2020 11:48;Вход в систему
68;1012;12.02.2020 11:48;Выход из системы
69;1013;12.02.2020 12:12;Вход в систему
70;1013;12.02.2020 12:13;Выход из системы
71;1014;12.02.2020 13:27;Вход в систему
72;1014;12.02.2020 13:27;Выбор операции
73;1014;12.02.2020 13:29;Печать договора
74;1014;12.02.2020 13:31;Загрузка сотрудником скана документа в систему
75;1014;12.02.2020 13:32;Подтверждение сотрудником загрузки скана документа
76;1014;12.02.2020 13:32;Подтверждение сотрудником загрузки скана документа
77;1014;12.02.2020 13:33;Выход из системы
78;1015;12.02.2020 15:05;Вход в систему
79;1015;12.02.2020 15:06;Выбор операции
80;1015;12.02.2020 15:07;Печать договора
81;1015;12.02.2020 15:11;Загрузка сотрудником скана документа в систему
82;1015;12.02.2020 15:12;Загрузка сотрудником скана документа в систему
83;1015;12.02.2020 15:14;Загрузка сотрудником скана документа в систему
84;1015;12.02.2020 15:15;Загрузка сотрудником скана документа в систему
85;1015;12.02.2020 15:15;Печать договора
86;1015;12.02.2020 15:15;Загрузка сотрудником скана документа в систему
87;1015;12.02.2020 15:21;Загрузка сотрудником скана документа в систему
88;1015;12.02.2020 15:22;Загрузка сотрудником скана документа в систему
89;1015;12.02.2020 15:23;Подтверждение сотрудником загрузки скана документа
90;1015;12.02.2020 15:23;Подтверждение сотрудником загрузки скана документа
91;1015;12.02.2020 15:23;Выход из системы
92;1016;12.02.2020 15:33;Вход в систему
